setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZmYiE,298.15,0,93.2,1095.3,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZmYiE,298.15,0.0509,93.2,1131.9,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZmYiE,298.15,0.1003,93.2,1161.9,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZmYiE,298.15,0.2002,93.2,1210.2,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZmYiE,298.15,0.2999,93.2,1246.5,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZmYiE,298.15,0.3999,93.2,1275.2,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZmYiE,298.15,0.5005,93.2,1298.1,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZmYiE,298.15,0.5956,93.2,1315.5,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZmYiE,298.15,0.7011,93.2,1331.5,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
ZmYiE,298.15,0.7993,93.2,1343.6,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
