setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium methyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lGVbf,298.15,0.0836,101,865.15,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAWSDQ,CCCCCCCO,heptan-1-ol,,,
lGVbf,298.15,0.1703,101,911.77,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAWSDQ,CCCCCCCO,heptan-1-ol,,,
lGVbf,298.15,0.2602,101,958.5,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAWSDQ,CCCCCCCO,heptan-1-ol,,,
lGVbf,298.15,0.3537,101,1005.4,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAWSDQ,CCCCCCCO,heptan-1-ol,,,
lGVbf,298.15,0.4508,101,1052.39,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAWSDQ,CCCCCCCO,heptan-1-ol,,,
lGVbf,298.15,0.5518,101,1099.42,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAWSDQ,CCCCCCCO,heptan-1-ol,,,
lGVbf,298.15,0.657,101,1146.34,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAWSDQ,CCCCCCCO,heptan-1-ol,,,
lGVbf,298.15,0.7665,101,1193.07,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAWSDQ,CCCCCCCO,heptan-1-ol,,,
lGVbf,298.15,0.8808,101,1239.44,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAWSDQ,CCCCCCCO,heptan-1-ol,,,
lGVbf,303.15,0.0836,101,861.66,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAWSDQ,CCCCCCCO,heptan-1-ol,,,
lGVbf,303.15,0.1703,101,908.26,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAWSDQ,CCCCCCCO,heptan-1-ol,,,
lGVbf,303.15,0.2602,101,955.02,Sandhya et al. (2017),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AAWSDQ,CCCCCCCO,heptan-1-ol,,,
