setid,Mole fraction of cyclohexane,Mole fraction of toluene,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
raFOO,0,0.328,101,298.15,1151,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
raFOO,0.011,0.274,101,298.15,1161.8,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
raFOO,0.017,0.244,101,298.15,1166.9,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
raFOO,0.021,0.194,101,298.15,1175.4,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
raFOO,0.025,0.173,101,298.15,1179.2,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
raFOO,0.026,0.143,101,298.15,1183.8,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
raFOO,0.03,0.096,101,298.15,1191.5,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
raFOO,0.031,0.076,101,298.15,1194.6,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
raFOO,0.033,0.05,101,298.15,1198.4,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
raFOO,0.039,0,101,298.15,1204.5,Dominguez et al. (2011a),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
