setid,"MolaLity of 1-butylpyridinium tetrafluoroborate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wWOjO,0.0106,101,298.15,997.487,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.0225,101,298.15,997.951,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.0292,101,298.15,998.212,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.04,101,298.15,998.631,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.0464,101,298.15,998.878,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.0546,101,298.15,999.195,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.0625,101,298.15,999.497,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.0697,101,298.15,999.774,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.0797,101,298.15,1000.16,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.0881,101,298.15,1000.48,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.1007,101,298.15,1000.94,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.1103,101,298.15,1001.3,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.1153,101,298.15,1001.49,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.1228,101,298.15,1001.76,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.1354,101,298.15,1002.23,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.1445,101,298.15,1002.56,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.1574,101,298.15,1003.03,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.16,101,298.15,1003.13,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.1711,101,298.15,1003.53,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
wWOjO,0.1767,101,298.15,1003.73,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
