setid,"MolaLity of tetrapropylammonium bromide, mol/kg",Solvent: Mole fraction of dimethylformamide,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OMfhE,0.02436,1,101,298.15,945.25,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.0295,0,101,298.15,1198.74,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.03323,0.75,101,298.15,1012.26,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.03406,0.5,101,298.15,1077.41,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.03882,0.25,101,298.15,1138.52,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.0394,1,101,298.15,946.03,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.04445,0,101,298.15,1198.43,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.04692,0.75,101,298.15,1012.73,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.0481,0.25,101,298.15,1138.51,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.0485,1,101,298.15,946.49,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.05035,0.5,101,298.15,1077.68,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.06233,0.5,101,298.15,1077.88,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.06499,0.25,101,298.15,1138.49,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.06594,0.75,101,298.15,1013.37,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.06718,0,101,298.15,1197.97,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.07504,0.5,101,298.15,1078.09,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.07557,0,101,298.15,1197.8,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.0798,1,101,298.15,948.04,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.0803,0.25,101,298.15,1138.46,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.08201,0.75,101,298.15,1013.89,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.08783,0.5,101,298.15,1078.29,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.09243,0.25,101,298.15,1138.44,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.09916,0.75,101,298.15,1014.45,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.09928,1,101,298.15,948.99,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
OMfhE,0.1005,0,101,298.15,1197.29,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
