setid,"Temperature, K",Mole fraction of 1-butylpyridinium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DnbGx,288.15,0,100,789.4,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcwx,CC(C)O,propan-2-ol,,,
DnbGx,288.15,0.1008,100,857.6,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcwx,CC(C)O,propan-2-ol,,,
DnbGx,288.15,0.2007,100,906.7,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcwx,CC(C)O,propan-2-ol,,,
DnbGx,288.15,0.3005,100,944.6,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcwx,CC(C)O,propan-2-ol,,,
DnbGx,288.15,0.3999,100,974.5,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcwx,CC(C)O,propan-2-ol,,,
DnbGx,288.15,0.5005,100,999.4,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcwx,CC(C)O,propan-2-ol,,,
DnbGx,288.15,0.5998,100,1019.5,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcwx,CC(C)O,propan-2-ol,,,
DnbGx,288.15,0.7004,100,1036.7,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcwx,CC(C)O,propan-2-ol,,,
DnbGx,288.15,0.7972,100,1050.7,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcwx,CC(C)O,propan-2-ol,,,
DnbGx,288.15,0.9032,100,1063.8,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcwx,CC(C)O,propan-2-ol,,,
DnbGx,288.15,1,100,1075,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcwx,CC(C)O,propan-2-ol,,,
