setid,"Temperature, K",Mole fraction of 1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MqGqO,298.15,0.0122,1016.85,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,298.15,0.0453,1059.73,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,298.15,0.0997,1107.52,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,298.15,0.2054,1136.95,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,298.15,0.3071,1187.93,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,303.15,0.0122,1015.23,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,303.15,0.0453,1057.69,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,303.15,0.0997,1105.14,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,303.15,0.2054,1134.43,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,303.15,0.3071,1185.25,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,308.15,0.0122,1013.43,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,308.15,0.0453,1055.55,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,308.15,0.0997,1102.71,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,308.15,0.2054,1131.88,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
MqGqO,308.15,0.3071,1182.56,Nie et al. (2012),Density,Liquid,Gas,,30,AADYJk,O,water,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride
