setid,"Temperature, K","Pressure, kPa","Mole fraction of 2-ethyl-1-hexyl-3,4-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hlmlW,293.15,100.5,0.813,1325.2,Yue et al. (2018c),Density,Liquid,ABqGfz,CCCCCC[n+]1cc(C)n(C)c1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1-hexyl-3,4-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",ABqGPY,CCCCCCn1c(C)c[n+](C)c1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-3-hexyl-1,4-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
hlmlW,303.15,100.5,0.813,1316.2,Yue et al. (2018c),Density,Liquid,ABqGfz,CCCCCC[n+]1cc(C)n(C)c1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1-hexyl-3,4-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",ABqGPY,CCCCCCn1c(C)c[n+](C)c1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-3-hexyl-1,4-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
hlmlW,313.15,100.5,0.813,1307.3,Yue et al. (2018c),Density,Liquid,ABqGfz,CCCCCC[n+]1cc(C)n(C)c1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1-hexyl-3,4-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",ABqGPY,CCCCCCn1c(C)c[n+](C)c1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-3-hexyl-1,4-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
hlmlW,323.15,100.5,0.813,1298.5,Yue et al. (2018c),Density,Liquid,ABqGfz,CCCCCC[n+]1cc(C)n(C)c1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1-hexyl-3,4-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",ABqGPY,CCCCCCn1c(C)c[n+](C)c1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-3-hexyl-1,4-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
hlmlW,333.15,100.5,0.813,1289.7,Yue et al. (2018c),Density,Liquid,ABqGfz,CCCCCC[n+]1cc(C)n(C)c1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1-hexyl-3,4-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",ABqGPY,CCCCCCn1c(C)c[n+](C)c1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-3-hexyl-1,4-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
hlmlW,343.15,100.5,0.813,1281,Yue et al. (2018c),Density,Liquid,ABqGfz,CCCCCC[n+]1cc(C)n(C)c1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1-hexyl-3,4-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",ABqGPY,CCCCCCn1c(C)c[n+](C)c1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-3-hexyl-1,4-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
hlmlW,353.15,100.5,0.813,1272.3,Yue et al. (2018c),Density,Liquid,ABqGfz,CCCCCC[n+]1cc(C)n(C)c1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1-hexyl-3,4-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",ABqGPY,CCCCCCn1c(C)c[n+](C)c1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-3-hexyl-1,4-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
