setid,Mole fraction of trimethylammonium hydrogen sulfate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ModgU,0,101,298.15,997,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.0448,101,298.15,1101.4,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.0648,101,298.15,1137.1,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.0973,101,298.15,1184.4,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.1276,101,298.15,1220.1,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.1516,101,298.15,1244.4,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.2122,101,298.15,1292.7,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.2988,101,298.15,1340.9,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.3266,101,298.15,1352.9,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.3927,101,298.15,1376.8,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.4325,101,298.15,1388.7,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.4781,101,298.15,1400.5,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.5309,101,298.15,1412.2,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.6277,101,298.15,1429.4,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.6661,101,298.15,1435.1,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.7081,101,298.15,1440.6,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.7544,101,298.15,1446.1,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.8058,101,298.15,1451.6,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.8631,101,298.15,1457,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,0.9273,101,298.15,1462.3,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
ModgU,1,101,298.15,1467.6,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
