setid,"Temperature, K","Pressure, kPa","MolaLity of sodium trifluoromethanesulfonate, mol/kg","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AzHCg,298.1,31030,0.0235,2.33,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,298.1,31030,0.0235,2.36,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,298.1,31030,0.0235,2.38,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,298.1,31030,0.0507,4.92,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,298.1,31030,0.0507,4.93,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,298.1,31030,0.0507,4.95,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,298.1,31030,0.1487,14.32,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,298.1,31030,0.1487,14.35,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,298.1,31030,0.1487,14.38,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,298.1,31030,0.2882,27.26,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,298.1,31030,0.2882,27.29,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,298.1,31030,0.2882,27.36,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,323.1,140,0.0501,4.73,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,323.1,140,0.0501,4.82,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,323.1,140,0.1503,13.91,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,323.1,140,0.1503,13.93,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,323.1,140,0.3007,27.26,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,323.1,140,0.3007,27.39,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,323.1,27450,0.025,2.36,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,323.1,27450,0.025,2.44,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,323.1,27450,0.025,2.49,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,323.1,27450,0.0501,4.69,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
AzHCg,323.1,27450,0.0501,4.8,Pourtier et al. (2013),Density,Liquid,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,AADYJk,O,water,,,
