setid,"Temperature, K","MolaLity of 1-hexyl-1-methylpyrrolidinium iodide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GOmnC,293.15,0.04806,100,787.2,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,293.15,0.09982,100,792.3,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,293.15,0.15144,100,797.4,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,293.15,0.19996,100,802.2,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,293.15,0.24939,100,807,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,293.15,0.29756,100,811.8,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,293.15,0.34917,100,816.9,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,293.15,0.40024,100,821.9,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,298.15,0.04806,100,781.9,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,298.15,0.09982,100,787.1,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,298.15,0.15144,100,792.2,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,298.15,0.19996,100,797.1,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,298.15,0.24939,100,802.1,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,298.15,0.29756,100,806.9,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,298.15,0.34917,100,812.1,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,298.15,0.40024,100,817.2,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,303.15,0.04806,100,776.5,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,303.15,0.09982,100,781.7,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,303.15,0.15144,100,786.9,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,303.15,0.19996,100,791.9,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,303.15,0.24939,100,796.8,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,303.15,0.29756,100,801.8,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,303.15,0.34917,100,807,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,303.15,0.40024,100,812.1,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,308.15,0.04806,100,771.1,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,308.15,0.09982,100,776.4,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
GOmnC,308.15,0.15144,100,781.6,Brahma and Gardas (2022),Density,Liquid,ABFISW,[I-].C(CCCCC)[N+]1(CCCC1)C,1-hexyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
