setid,"Temperature, K",Mole fraction of n-butylammonium nitrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OGAlL,293.15,0,101,791.23,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,293.15,0.0999,101,884.86,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,293.15,0.1998,101,944.76,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,293.15,0.3012,101,987.04,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,293.15,0.4005,101,1016.59,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,293.15,0.5015,101,1039.9,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,293.15,0.6507,101,1065.5,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,293.15,0.8007,101,1085.2,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,293.15,0.9007,101,1096.2,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
OGAlL,293.15,1,101,1104.7,Xu et al. (2013a),Density,Liquid,AAGIBL,CO,methanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
