setid,"MolaRity of N,N,N-trimethyl-1-decanaminium bromide, mol/dm3","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jKmVC,0,298.15,101,997,Gomez-Diaz et al. (2007a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
jKmVC,0.001,298.15,101,997.11,Gomez-Diaz et al. (2007a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
jKmVC,0.005,298.15,101,997.25,Gomez-Diaz et al. (2007a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
jKmVC,0.01,298.15,101,997.37,Gomez-Diaz et al. (2007a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
jKmVC,0.02,298.15,101,997.58,Gomez-Diaz et al. (2007a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
jKmVC,0.03,298.15,101,997.85,Gomez-Diaz et al. (2007a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
jKmVC,0.04,298.15,101,998.06,Gomez-Diaz et al. (2007a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
jKmVC,0.05,298.15,101,998.33,Gomez-Diaz et al. (2007a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
jKmVC,0.06,298.15,101,998.52,Gomez-Diaz et al. (2007a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
jKmVC,0.07,298.15,101,998.79,Gomez-Diaz et al. (2007a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
jKmVC,0.08,298.15,101,999,Gomez-Diaz et al. (2007a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
jKmVC,0.1,298.15,101,999.37,Gomez-Diaz et al. (2007a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
jKmVC,0.12,298.15,101,999.77,Gomez-Diaz et al. (2007a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
jKmVC,0.15,298.15,101,1000.4,Gomez-Diaz et al. (2007a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
jKmVC,0.2,298.15,101,1001.22,Gomez-Diaz et al. (2007a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
jKmVC,0.25,298.15,101,1002.09,Gomez-Diaz et al. (2007a),Density,Liquid,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water,,,
