setid,"Temperature, K",Weight fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PwqUV,293.15,0.0006,101,1234.8,Yan et al. (2021a),Density,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,
PwqUV,293.15,0.001,101,1234.5,Yan et al. (2021a),Density,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,
PwqUV,293.15,0.0023,101,1233.6,Yan et al. (2021a),Density,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,
PwqUV,293.15,0.0051,101,1231.7,Yan et al. (2021a),Density,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,
PwqUV,293.15,0.0078,101,1230,Yan et al. (2021a),Density,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,
PwqUV,293.15,0.0116,101,1227.4,Yan et al. (2021a),Density,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,
PwqUV,298.15,0.0006,101,1231.8,Yan et al. (2021a),Density,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,
PwqUV,298.15,0.001,101,1231.5,Yan et al. (2021a),Density,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,
PwqUV,298.15,0.0023,101,1230.6,Yan et al. (2021a),Density,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,
PwqUV,298.15,0.0051,101,1228.8,Yan et al. (2021a),Density,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,
PwqUV,298.15,0.0078,101,1227,Yan et al. (2021a),Density,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,
PwqUV,298.15,0.0116,101,1224.5,Yan et al. (2021a),Density,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,
PwqUV,303.15,0.0006,101,1228.8,Yan et al. (2021a),Density,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,
PwqUV,303.15,0.001,101,1228.4,Yan et al. (2021a),Density,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,
PwqUV,303.15,0.0023,101,1227.6,Yan et al. (2021a),Density,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,
PwqUV,303.15,0.0051,101,1225.7,Yan et al. (2021a),Density,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,
PwqUV,303.15,0.0078,101,1223.9,Yan et al. (2021a),Density,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,
PwqUV,303.15,0.0116,101,1221.4,Yan et al. (2021a),Density,Liquid,AAqxqp,CC(=O)[O-].CCCCCC[n+]1ccccc1,1-hexylpyridinium acetate,AADYJk,O,water,,,
