setid,"Temperature, K","Mole fraction of (3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane","Mole fraction of (3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane","Pressure, kPa","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XyVUI,293.4,0.1445,0.1445,101,0.000188,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
XyVUI,293.4,0.488,0.488,101,0.000157,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
XyVUI,303.3,0.125,0.125,101,0.0001916,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
XyVUI,303.3,0.491,0.491,101,0.0001597,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
XyVUI,313.1,0.1115,0.1115,101,0.0001942,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
XyVUI,313.1,0.492,0.492,101,0.0001625,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
XyVUI,323.3,0.101,0.101,101,0.0001969,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
XyVUI,323.3,0.4925,0.4925,101,0.0001656,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
XyVUI,334.1,0.0905,0.0905,101,0.0001989,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
XyVUI,334.1,0.4935,0.4935,101,0.0001693,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsoR,[2H][C@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsQZ,[2H][C@@](F)(C(F)(F)F)[C@]([2H])(F)C(F)(F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
