setid,"Temperature, K","MolaLity of tetrabutylphosphonium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PMWru,293.15,0,100,782.312,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,293.15,0.1024,100,789.254,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,293.15,0.2014,100,795.592,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,293.15,0.2967,100,801.38,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,293.15,0.402,100,807.434,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,293.15,0.4963,100,812.596,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,293.15,0.5996,100,817.974,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,293.15,0.6977,100,822.855,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,293.15,0.7993,100,827.649,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,293.15,0.898,100,832.105,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,293.15,0.996,100,836.319,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,298.15,0,100,776.919,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,298.15,0.1024,100,783.938,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,298.15,0.2014,100,790.344,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,298.15,0.2967,100,796.186,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,298.15,0.402,100,802.321,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,298.15,0.4963,100,807.526,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,298.15,0.5996,100,812.963,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,298.15,0.6977,100,817.905,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,298.15,0.7993,100,822.744,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,298.15,0.898,100,827.253,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,298.15,0.996,100,831.509,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,303.15,0,100,771.494,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,303.15,0.1024,100,778.591,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,303.15,0.2014,100,785.065,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,303.15,0.2967,100,790.967,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,303.15,0.402,100,797.147,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,303.15,0.4963,100,802.429,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,303.15,0.5996,100,807.91,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,303.15,0.6977,100,812.893,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,303.15,0.7993,100,817.78,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,303.15,0.898,100,822.333,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,303.15,0.996,100,826.633,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,308.15,0,100,766.044,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,308.15,0.1024,100,773.215,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,308.15,0.2014,100,779.755,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,308.15,0.2967,100,785.712,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,308.15,0.402,100,791.964,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,308.15,0.4963,100,797.292,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,308.15,0.5996,100,802.824,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,308.15,0.6977,100,807.859,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
PMWru,308.15,0.7993,100,812.78,Xu et al. (2021a),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
