setid,Mole fraction of pentan-1-ol,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bRXRm,0,101,298.15,1103.8,Heintz et al. (2005c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
bRXRm,0.1686,101,298.15,1080.1,Heintz et al. (2005c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
bRXRm,0.1687,101,298.15,1080,Heintz et al. (2005c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
bRXRm,0.2297,101,298.15,1070.3,Heintz et al. (2005c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
bRXRm,0.2749,101,298.15,1062.4,Heintz et al. (2005c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
bRXRm,0.3334,101,298.15,1051.8,Heintz et al. (2005c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
bRXRm,0.4551,101,298.15,1026.5,Heintz et al. (2005c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
bRXRm,0.4571,101,298.15,1026.1,Heintz et al. (2005c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
bRXRm,0.5441,101,298.15,1004.8,Heintz et al. (2005c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
bRXRm,0.6203,101,298.15,983.4,Heintz et al. (2005c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
bRXRm,0.7016,101,298.15,957.2,Heintz et al. (2005c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
bRXRm,0.7415,101,298.15,942.6,Heintz et al. (2005c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
bRXRm,0.7662,101,298.15,933.19,Heintz et al. (2005c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
bRXRm,0.796,101,298.15,921,Heintz et al. (2005c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
bRXRm,0.8046,101,298.15,917.2,Heintz et al. (2005c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
bRXRm,0.8218,101,298.15,909.78,Heintz et al. (2005c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
bRXRm,0.8733,101,298.15,885.44,Heintz et al. (2005c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
bRXRm,0.8881,101,298.15,877.86,Heintz et al. (2005c),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
