setid,"Temperature, K",Mole fraction of triethylammonium hydrogen sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ReBAA,298.15,0,101,1025.9,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,298.15,0.0115,101,1032.8,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,298.15,0.0234,101,1038.22,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,298.15,0.0632,101,1050.09,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,298.15,0.0927,101,1059.1,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,298.15,0.1387,101,1070.98,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,298.15,0.2259,101,1088.61,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,298.15,0.2631,101,1094.64,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,298.15,0.3261,101,1103.78,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,298.15,0.4478,101,1116.87,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,298.15,0.5947,101,1127.01,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,298.15,0.7717,101,1135,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,298.15,0.9017,101,1139.74,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,298.15,0.9497,101,1141.23,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,298.15,1,101,1142.89,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,303.15,0,101,1023.74,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,303.15,0.0115,101,1029.6,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,303.15,0.0234,101,1033.96,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,303.15,0.0632,101,1046.49,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,303.15,0.0927,101,1054.51,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,303.15,0.1387,101,1066.39,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,303.15,0.2259,101,1084.19,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,303.15,0.2631,101,1090.49,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,303.15,0.3261,101,1099.54,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,303.15,0.4478,101,1112.6,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,303.15,0.5947,101,1123.51,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
ReBAA,303.15,0.7717,101,1132.09,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,
