setid,"Temperature, K",Mole fraction of benzene,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ttEzm,283.15,0.335,101,1198.6,Gomez et al. (2010b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
ttEzm,298.15,0.406,101,1171.7,Gomez et al. (2010b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
