setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium diethyl phosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DeYCM,293.15,0,100,790,Skonieczny and Krolikowska (2022),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AAIsrh,CCO,ethanol,,,
DeYCM,293.15,0.0201,100,819,Skonieczny and Krolikowska (2022),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AAIsrh,CCO,ethanol,,,
DeYCM,293.15,0.0397,100,845,Skonieczny and Krolikowska (2022),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AAIsrh,CCO,ethanol,,,
DeYCM,293.15,0.0802,100,889,Skonieczny and Krolikowska (2022),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AAIsrh,CCO,ethanol,,,
DeYCM,293.15,0.1002,100,907,Skonieczny and Krolikowska (2022),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AAIsrh,CCO,ethanol,,,
DeYCM,293.15,0.12,100,923,Skonieczny and Krolikowska (2022),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AAIsrh,CCO,ethanol,,,
DeYCM,293.15,0.16,100,952,Skonieczny and Krolikowska (2022),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AAIsrh,CCO,ethanol,,,
DeYCM,293.15,0.1992,100,975,Skonieczny and Krolikowska (2022),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AAIsrh,CCO,ethanol,,,
DeYCM,293.15,0.2987,100,1021,Skonieczny and Krolikowska (2022),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AAIsrh,CCO,ethanol,,,
DeYCM,293.15,0.4007,100,1055,Skonieczny and Krolikowska (2022),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AAIsrh,CCO,ethanol,,,
DeYCM,293.15,0.5007,100,1080,Skonieczny and Krolikowska (2022),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AAIsrh,CCO,ethanol,,,
DeYCM,293.15,0.5993,100,1099,Skonieczny and Krolikowska (2022),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AAIsrh,CCO,ethanol,,,
