setid,"Temperature, K",Mole fraction of 1-methyl-3-octylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cSrrP,288.15,0,100,1069.57,Bai et al. (2016c),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
cSrrP,288.15,0.0999,100,1063.35,Bai et al. (2016c),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
cSrrP,288.15,0.1998,100,1056.39,Bai et al. (2016c),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
cSrrP,288.15,0.2997,100,1049.97,Bai et al. (2016c),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
cSrrP,288.15,0.4004,100,1043.94,Bai et al. (2016c),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
cSrrP,288.15,0.4993,100,1038.22,Bai et al. (2016c),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
cSrrP,288.15,0.5981,100,1033.08,Bai et al. (2016c),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
cSrrP,288.15,0.6984,100,1028.13,Bai et al. (2016c),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
cSrrP,288.15,0.7997,100,1023.51,Bai et al. (2016c),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
cSrrP,288.15,0.9003,100,1019.32,Bai et al. (2016c),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
cSrrP,288.15,1,100,1015.3,Bai et al. (2016c),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
cSrrP,293.15,0,100,1065.37,Bai et al. (2016c),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
cSrrP,293.15,0.0999,100,1059.42,Bai et al. (2016c),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
