setid,Mole fraction of 1-methylethyl ethanoate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HMhqk,0.0514,298.15,101,1425.08,Andreatta et al. (2011),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HMhqk,0.1096,298.15,101,1411.17,Andreatta et al. (2011),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HMhqk,0.1554,298.15,101,1399.42,Andreatta et al. (2011),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HMhqk,0.1972,298.15,101,1388.1,Andreatta et al. (2011),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HMhqk,0.2961,298.15,101,1358.2,Andreatta et al. (2011),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HMhqk,0.4241,298.15,101,1312.34,Andreatta et al. (2011),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HMhqk,0.5168,298.15,101,1272.49,Andreatta et al. (2011),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HMhqk,0.5998,298.15,101,1230.54,Andreatta et al. (2011),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HMhqk,0.7017,298.15,101,1168.62,Andreatta et al. (2011),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HMhqk,0.7981,298.15,101,1095.44,Andreatta et al. (2011),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
HMhqk,0.8918,298.15,101,1005.35,Andreatta et al. (2011),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
