setid,"Temperature, K",Mole fraction of 1-butyl-3-ethylimidazolium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KVOSk,298.15,0.671,100,1251.3,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,298.15,0.765,100,1254.2,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,298.15,0.7897,100,1254.8,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,298.15,0.8941,100,1257.2,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,298.15,1,100,1259.4,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,303.15,0,100,995.6,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,303.15,0.0508,100,1092.8,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,303.15,0.0989,100,1141.1,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,303.15,0.2035,100,1194,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,303.15,0.2952,100,1216.5,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,303.15,0.3401,100,1223.7,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,303.15,0.3992,100,1231.1,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,303.15,0.47,100,1237.5,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,303.15,0.5253,100,1241.3,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,303.15,0.5747,100,1243.9,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,303.15,0.671,100,1247.9,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,303.15,0.765,100,1250.7,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,303.15,0.7897,100,1251.3,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,303.15,0.8941,100,1253.7,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,303.15,1,100,1256,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,308.15,0,100,994,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,308.15,0.0508,100,1089.5,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,308.15,0.0989,100,1137.5,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,308.15,0.2035,100,1190.2,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,308.15,0.2952,100,1212.8,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,308.15,0.3401,100,1220.2,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,308.15,0.3992,100,1227.6,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,308.15,0.47,100,1234.1,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,308.15,0.5253,100,1237.9,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,308.15,0.5747,100,1240.5,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,308.15,0.671,100,1244.4,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
