setid,"MolaLity of 1-butyl-3-methylimidazolium trifluoromethanesulfonate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ulrYS,0.098,293.15,101,815.49,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,0.098,308.15,101,802.94,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,0.098,323.15,101,789.53,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,0.149,293.15,101,819.88,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,0.149,308.15,101,807.37,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,0.149,323.15,101,794.01,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,0.201,293.15,101,824.3,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,0.201,308.15,101,811.78,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,0.201,323.15,101,798.46,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,0.249,293.15,101,828.21,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,0.249,308.15,101,815.73,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,0.249,323.15,101,802.45,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,0.498,293.15,101,847.84,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,0.498,308.15,101,835.4,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,0.498,323.15,101,822.26,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,1.002,293.15,101,882.87,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,1.002,308.15,101,870.47,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,1.002,323.15,101,857.52,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,1.239,293.15,101,897.53,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ulrYS,1.239,308.15,101,885.16,Gonzalez et al. (2013c),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
