setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tRYIr,293.15,0,101,948.63,Yang et al. (2010a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
tRYIr,293.15,0.0332,101,961.92,Yang et al. (2010a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
tRYIr,293.15,0.0835,101,978,Yang et al. (2010a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
tRYIr,293.15,0.1303,101,990.54,Yang et al. (2010a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
tRYIr,293.15,0.1822,101,1002.71,Yang et al. (2010a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
tRYIr,293.15,0.2289,101,1012.04,Yang et al. (2010a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
tRYIr,293.15,0.3069,101,1025.51,Yang et al. (2010a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
tRYIr,293.15,0.3879,101,1037.1,Yang et al. (2010a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
tRYIr,293.15,0.4488,101,1044.5,Yang et al. (2010a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
tRYIr,298.15,0,101,943.86,Yang et al. (2010a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
tRYIr,298.15,0.0332,101,957.33,Yang et al. (2010a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
tRYIr,298.15,0.0835,101,973.63,Yang et al. (2010a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
tRYIr,298.15,0.1303,101,986.33,Yang et al. (2010a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
tRYIr,298.15,0.1822,101,998.67,Yang et al. (2010a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
tRYIr,298.15,0.2289,101,1008.12,Yang et al. (2010a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
tRYIr,298.15,0.3069,101,1021.78,Yang et al. (2010a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
tRYIr,298.15,0.3879,101,1033.5,Yang et al. (2010a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
tRYIr,298.15,0.4488,101,1041.1,Yang et al. (2010a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
