setid,Mole fraction of propan-2-ol,Mole fraction of water,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tIEgx,0.0353,0.9565,298.15,101,999.4,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.0389,0.9432,298.15,101,1017.9,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.0434,0.9286,298.15,101,1033.7,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.0505,0.9031,298.15,101,1057.5,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.0579,0.875,298.15,101,1077.6,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.0688,0.8355,298.15,101,1097.7,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.0754,0.9166,298.15,101,982.3,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.0834,0.4648,298.15,101,1195,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.0834,0.8995,298.15,101,996.7,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
tIEgx,0.085,0.7786,298.15,101,1116.8,Gonzalez et al. (2008c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
