setid,"Temperature, K","MolaLity of 1-hexyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FVFNA,278.15,0,101.3,821.77,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,278.15,0.00552,101.3,821.85,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,278.15,0.01247,101.3,822.02,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,278.15,0.02164,101.3,822.23,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,278.15,0.03037,101.3,822.48,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,278.15,0.04043,101.3,822.79,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,278.15,0.05222,101.3,823.19,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,278.15,0.06069,101.3,823.5,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,278.15,0.07502,101.3,824.05,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,278.15,0.11008,101.3,825.57,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,283.15,0,101.3,816.61,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,283.15,0.00552,101.3,816.72,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,283.15,0.01247,101.3,816.93,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,283.15,0.02164,101.3,817.18,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,283.15,0.03037,101.3,817.45,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,283.15,0.04043,101.3,817.8,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,283.15,0.05222,101.3,818.22,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,283.15,0.06069,101.3,818.55,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,283.15,0.07502,101.3,819.12,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,283.15,0.11008,101.3,820.66,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,288.15,0,101.3,811.4,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,288.15,0.00552,101.3,811.54,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,288.15,0.01247,101.3,811.76,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,288.15,0.02164,101.3,812.02,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,288.15,0.03037,101.3,812.3,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,288.15,0.04043,101.3,812.64,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,288.15,0.05222,101.3,813.06,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,288.15,0.06069,101.3,813.38,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,288.15,0.07502,101.3,813.93,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,288.15,0.11008,101.3,815.39,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,293.15,0,101.3,806.2,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,293.15,0.00552,101.3,806.37,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,293.15,0.01247,101.3,806.6,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,293.15,0.02164,101.3,806.9,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,293.15,0.03037,101.3,807.21,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,293.15,0.04043,101.3,807.58,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,293.15,0.05222,101.3,808.03,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,293.15,0.06069,101.3,808.37,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,293.15,0.07502,101.3,808.96,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,293.15,0.11008,101.3,810.48,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,298.15,0,101.3,800.98,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,298.15,0.00552,101.3,801.14,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,298.15,0.01247,101.3,801.39,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,298.15,0.02164,101.3,801.71,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,298.15,0.03037,101.3,802.03,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,298.15,0.04043,101.3,802.41,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,298.15,0.05222,101.3,802.88,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,298.15,0.06069,101.3,803.23,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,298.15,0.07502,101.3,803.83,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,298.15,0.11008,101.3,805.39,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,303.15,0,101.3,795.7,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,303.15,0.00552,101.3,795.88,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,303.15,0.01247,101.3,796.1,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,303.15,0.02164,101.3,796.39,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,303.15,0.03037,101.3,796.68,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,303.15,0.04043,101.3,797.03,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,303.15,0.05222,101.3,797.46,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,303.15,0.06069,101.3,797.77,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,303.15,0.07502,101.3,798.31,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
FVFNA,303.15,0.11008,101.3,799.69,Tomas et al. (2023),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
