setid,"Temperature, K","MolaLity of L-leucine, mol/kg","Solvent: MolaLity of 1-butyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gNIhl,288.15,0,0,100,999.1,Kumar et al. (2020a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
gNIhl,288.15,0,0.005,100,999.17,Kumar et al. (2020a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
gNIhl,288.15,0,0.01,100,999.24,Kumar et al. (2020a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
gNIhl,288.15,0,0.03,100,999.5,Kumar et al. (2020a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
gNIhl,288.15,0,0.05,100,999.77,Kumar et al. (2020a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
gNIhl,288.15,0.00991,0.01,100,999.48,Kumar et al. (2020a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
gNIhl,288.15,0.00997,0.05,100,1000.01,Kumar et al. (2020a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
gNIhl,288.15,0.01001,0.03,100,999.74,Kumar et al. (2020a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
gNIhl,288.15,0.01002,0.005,100,999.41,Kumar et al. (2020a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
gNIhl,288.15,0.01009,0,100,999.35,Kumar et al. (2020a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
gNIhl,288.15,0.01997,0.005,100,999.66,Kumar et al. (2020a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
gNIhl,288.15,0.01999,0.05,100,1000.25,Kumar et al. (2020a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
gNIhl,288.15,0.02005,0.01,100,999.72,Kumar et al. (2020a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
gNIhl,288.15,0.02007,0,100,999.6,Kumar et al. (2020a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
gNIhl,288.15,0.02015,0.03,100,999.99,Kumar et al. (2020a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
gNIhl,288.15,0.02902,0.05,100,1000.47,Kumar et al. (2020a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
gNIhl,288.15,0.02995,0.03,100,1000.22,Kumar et al. (2020a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
