setid,"MolaLity of thiophene, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaLity of 1-ethyl-3-methylimidazolium ethyl sulfate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FwvLp,0,101.33,298.15,0.0999,773.884,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
FwvLp,0.0309,101.33,298.15,0.0999,774.397,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
FwvLp,0.041,101.33,298.15,0.0999,774.561,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
FwvLp,0.051,101.33,298.15,0.0999,774.722,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
FwvLp,0.061,101.33,298.15,0.0999,774.883,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
FwvLp,0.0711,101.33,298.15,0.0999,775.042,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
FwvLp,0.081,101.33,298.15,0.0999,775.198,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
FwvLp,0.0911,101.33,298.15,0.0999,775.356,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
FwvLp,0.1009,101.33,298.15,0.0999,775.506,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
FwvLp,0.1111,101.33,298.15,0.0999,775.66,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
FwvLp,0.1209,101.33,298.15,0.0999,775.808,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
FwvLp,0.1311,101.33,298.15,0.0999,775.959,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
FwvLp,0.1413,101.33,298.15,0.0999,776.113,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
FwvLp,0.1506,101.33,298.15,0.0999,776.248,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
FwvLp,0.1609,101.33,298.15,0.0999,776.395,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
