setid,Mole fraction of 1-butyl-3-methylimidazolium chloride,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sAPNf,0.5,100,303.15,1510,Al-Kayiem et al. (2021),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAaKSC,Cl[Zn]Cl,zinc chloride,,,
sAPNf,0.666,100,303.15,1343,Al-Kayiem et al. (2021),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAaKSC,Cl[Zn]Cl,zinc chloride,,,
