setid,"Temperature, K",Mole fraction of aluminum chloride,Mole fraction of 1-ethyl-3-methylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bjDJj,288.15,0.5969,0.3979,101,1364.5,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAgTSO,[Cl-].[Cs+],cesium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
bjDJj,288.15,0.5989,0.3993,101,1361.2,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAgTSO,[Cl-].[Cs+],cesium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
bjDJj,298.15,0.5969,0.3979,101,1355.2,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAgTSO,[Cl-].[Cs+],cesium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
bjDJj,298.15,0.5989,0.3993,101,1351.8,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAgTSO,[Cl-].[Cs+],cesium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
bjDJj,308.15,0.5969,0.3979,101,1347.5,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAgTSO,[Cl-].[Cs+],cesium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
bjDJj,308.15,0.5989,0.3993,101,1344.1,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAgTSO,[Cl-].[Cs+],cesium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
bjDJj,318.15,0.5989,0.3993,101,1334.8,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAgTSO,[Cl-].[Cs+],cesium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
bjDJj,328.15,0.5989,0.3993,101,1326.9,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAgTSO,[Cl-].[Cs+],cesium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
bjDJj,338.15,0.5969,0.3979,101,1320.9,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAgTSO,[Cl-].[Cs+],cesium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
bjDJj,338.15,0.5989,0.3993,101,1317.6,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAgTSO,[Cl-].[Cs+],cesium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
