setid,"Solvent: MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","MolaLity of (S)-2-aminopropanoic acid, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gouCF,0.005,0,288.15,100,999.3,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.005,0,293.15,100,998.4,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.005,0,298.15,100,997.2,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.005,0,303.15,100,995.8,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.005,0,308.15,100,994.2,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.005,0.01047,288.15,100,999.6,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.005,0.01047,293.15,100,998.7,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.005,0.01047,298.15,100,997.5,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.005,0.01047,303.15,100,996.1,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.005,0.01047,308.15,100,994.5,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gouCF,0.005,0.03075,288.15,100,1000.2,Kumar et al. (2021d),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
