setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XljSs,293.15,0.74427,100,1266.8,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XljSs,293.15,0.75819,100,1267.7,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XljSs,293.15,0.8009,100,1270.6,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XljSs,293.15,0.84224,100,1273.1,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XljSs,293.15,0.88441,100,1275.6,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XljSs,293.15,0.9501,100,1279.8,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XljSs,303.15,0.04399,100,1067.1,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XljSs,303.15,0.09406,100,1116.2,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XljSs,303.15,0.21626,100,1179.4,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XljSs,303.15,0.30948,100,1205.8,Gutierrez et al. (2018),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
