setid,"Temperature, K","MolaLity of L-leucine, mol/kg","Solvent: MolaLity of 1-butyl-3-methylimidazolium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ExYlO,293.15,0,0,100,998.298,Sharma et al. (2022a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
ExYlO,293.15,0,0.0207,100,998.974,Sharma et al. (2022a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
ExYlO,293.15,0,0.0403,100,999.801,Sharma et al. (2022a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
ExYlO,293.15,0,0.0611,100,1000.58,Sharma et al. (2022a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
ExYlO,293.15,0.0152,0,100,998.651,Sharma et al. (2022a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
ExYlO,293.15,0.0154,0.0207,100,999.324,Sharma et al. (2022a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
ExYlO,293.15,0.0154,0.0403,100,1000.15,Sharma et al. (2022a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
ExYlO,293.15,0.0157,0.0611,100,1000.9,Sharma et al. (2022a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
ExYlO,293.15,0.0252,0.0403,100,1000.38,Sharma et al. (2022a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
ExYlO,293.15,0.0252,0.0611,100,1001.12,Sharma et al. (2022a),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
