setid,"MolaLity of cholinium propanoate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UHACy,0.05,293.15,100,999.4,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.05,298.15,100,998.2,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.05,303.15,100,996.8,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.05,308.15,100,995.2,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.05,313.15,100,993.3,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.05,318.15,100,991.34,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.05,323.15,100,989.149,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.05,328.15,100,986.804,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.1,293.15,100,1000.1,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.1,298.15,100,998.9,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.1,303.15,100,997.5,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.1,308.15,100,995.8,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.1,313.15,100,994,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.1,318.15,100,992,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.1,323.15,100,989.802,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.1,328.15,100,987.452,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.15,293.15,100,1000.8,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.15,298.15,100,999.6,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.15,303.15,100,998.2,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.15,308.15,100,996.5,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.15,313.15,100,994.7,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.15,318.15,100,992.7,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.15,323.15,100,990.455,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.15,328.15,100,988.1,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.2,293.15,100,1001.5,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.2,298.15,100,1000.3,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.2,303.15,100,998.9,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.2,308.15,100,997.2,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.2,313.15,100,995.3,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.2,318.15,100,993.3,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.2,323.15,100,991.108,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
UHACy,0.2,328.15,100,988.748,Panda et al. (2020),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
