setid,"Temperature, K",Mole fraction of 1-butyl-1-methylpyrrolidinium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tiMIV,273.15,0,100,1149.2,Zec et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
tiMIV,273.15,0.0987,100,1124.8,Zec et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
tiMIV,273.15,0.1859,100,1107.1,Zec et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
tiMIV,273.15,0.3029,100,1087.9,Zec et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
tiMIV,273.15,0.4985,100,1064,Zec et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
tiMIV,273.15,0.6954,100,1046.5,Zec et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
tiMIV,273.15,0.9013,100,1033,Zec et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
tiMIV,273.15,1,100,1027.7,Zec et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
tiMIV,283.15,0,100,1139.3,Zec et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
tiMIV,283.15,0.0987,100,1116.1,Zec et al. (2015),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
