setid,"Temperature, K",Mole fraction of n-butylammonium nitrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AZGuM,293.15,0,101,789.5,Xu et al. (2013a),Density,Liquid,AAIsrh,CCO,ethanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
AZGuM,293.15,0.0995,101,858.45,Xu et al. (2013a),Density,Liquid,AAIsrh,CCO,ethanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
AZGuM,293.15,0.1997,101,910.07,Xu et al. (2013a),Density,Liquid,AAIsrh,CCO,ethanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
AZGuM,293.15,0.2999,101,951.56,Xu et al. (2013a),Density,Liquid,AAIsrh,CCO,ethanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
AZGuM,293.15,0.3998,101,985.07,Xu et al. (2013a),Density,Liquid,AAIsrh,CCO,ethanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
AZGuM,293.15,0.5005,101,1012.9,Xu et al. (2013a),Density,Liquid,AAIsrh,CCO,ethanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
AZGuM,293.15,0.6501,101,1047.6,Xu et al. (2013a),Density,Liquid,AAIsrh,CCO,ethanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
AZGuM,293.15,0.8003,101,1075.6,Xu et al. (2013a),Density,Liquid,AAIsrh,CCO,ethanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
AZGuM,293.15,0.8989,101,1090.9,Xu et al. (2013a),Density,Liquid,AAIsrh,CCO,ethanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
AZGuM,293.15,1,101,1104.7,Xu et al. (2013a),Density,Liquid,AAIsrh,CCO,ethanol,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
