setid,"Temperature, K","MolaLity of benzylmethylammonium hexanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zKrAN,293.15,0.06721,101,949.02,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,293.15,0.11621,101,949.18,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,293.15,0.19574,101,949.63,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,293.15,0.24971,101,949.92,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,293.15,0.29791,101,950.29,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,293.15,0.38214,101,950.77,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,293.15,0.43033,101,951.21,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,293.15,0.49009,101,951.77,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,298.15,0.06721,101,944.24,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,298.15,0.11621,101,944.4,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,298.15,0.19574,101,944.84,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,298.15,0.24971,101,945.12,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,298.15,0.29791,101,945.48,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,298.15,0.38214,101,945.96,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,298.15,0.43033,101,946.39,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,298.15,0.49009,101,946.95,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,303.15,0.06721,101,939.47,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,303.15,0.11621,101,939.63,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,303.15,0.19574,101,940.05,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,303.15,0.24971,101,940.32,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,303.15,0.29791,101,940.67,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,303.15,0.38214,101,941.13,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,303.15,0.43033,101,941.57,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,303.15,0.49009,101,942.12,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,308.15,0.06721,101,934.68,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,308.15,0.11621,101,934.84,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,308.15,0.19574,101,935.25,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,308.15,0.24971,101,935.51,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,308.15,0.29791,101,935.86,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,308.15,0.38214,101,936.31,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,308.15,0.43033,101,936.74,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,308.15,0.49009,101,937.29,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,313.15,0.06721,101,929.89,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,313.15,0.11621,101,930.04,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,313.15,0.19574,101,930.44,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,313.15,0.24971,101,930.69,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,313.15,0.29791,101,931.03,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,313.15,0.38214,101,931.48,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,313.15,0.43033,101,931.9,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,313.15,0.49009,101,932.45,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,318.15,0.06721,101,925.08,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,318.15,0.11621,101,925.23,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,318.15,0.19574,101,925.63,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,318.15,0.24971,101,925.87,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
zKrAN,318.15,0.29791,101,926.2,Keshapolla and Gardas (2015),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAOCWD,CN(C)C=O,dimethylformamide,,,
