setid,"Temperature, K","Pressure, kPa",Mole fraction of carbon dioxide,"Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zdRYO,298.15,644.5,0.145,0.0002117,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABUcca,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
zdRYO,298.15,1041.2,0.219,0.0001974,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABUcca,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
zdRYO,298.15,1655.8,0.314,0.0001785,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABUcca,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
zdRYO,298.15,2056.6,0.368,0.0001681,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABUcca,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
zdRYO,298.15,2564.8,0.427,0.0001562,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABUcca,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
zdRYO,298.15,3126.9,0.483,0.0001452,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABUcca,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
zdRYO,298.15,3801.3,0.541,0.0001336,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABUcca,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
zdRYO,298.15,4489.2,0.592,0.0001235,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABUcca,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
zdRYO,298.15,5225.3,0.637,0.0001145,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABUcca,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
zdRYO,313.15,632.6,0.111,0.0002198,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABUcca,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
zdRYO,313.15,1025.8,0.167,0.0002084,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABUcca,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
zdRYO,313.15,1641,0.25,0.0001915,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABUcca,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
zdRYO,313.15,2233.2,0.314,0.0001788,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABUcca,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
zdRYO,313.15,2462.3,0.336,0.0001744,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABUcca,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
zdRYO,313.15,3099.4,0.392,0.0001631,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABUcca,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
