setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium hydrogen sulfate, mol/kg",Solvent: Weight fraction of D-sorbitol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PopkZ,293.15,0,0.04,87,1010.3,Rezaei and Rafiee (2021),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
PopkZ,293.15,0,0.08,87,1028.2,Rezaei and Rafiee (2021),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
PopkZ,293.15,0,0.12,87,1042.5,Rezaei and Rafiee (2021),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
PopkZ,293.15,0.0401,0.04,87,1013.5,Rezaei and Rafiee (2021),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
PopkZ,293.15,0.0403,0.08,87,1031.6,Rezaei and Rafiee (2021),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
PopkZ,293.15,0.0404,0.12,87,1046.1,Rezaei and Rafiee (2021),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
PopkZ,293.15,0.0805,0.04,87,1016.6,Rezaei and Rafiee (2021),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
PopkZ,293.15,0.0805,0.08,87,1034.8,Rezaei and Rafiee (2021),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
PopkZ,293.15,0.0806,0.12,87,1049.4,Rezaei and Rafiee (2021),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
PopkZ,293.15,0.1206,0.04,87,1019.6,Rezaei and Rafiee (2021),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
PopkZ,293.15,0.1206,0.12,87,1052.6,Rezaei and Rafiee (2021),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
PopkZ,293.15,0.1208,0.08,87,1038,Rezaei and Rafiee (2021),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
PopkZ,293.15,0.1588,0.12,87,1055.5,Rezaei and Rafiee (2021),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
PopkZ,293.15,0.1603,0.04,87,1022.5,Rezaei and Rafiee (2021),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
PopkZ,293.15,0.1603,0.08,87,1041,Rezaei and Rafiee (2021),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
PopkZ,293.15,0.2001,0.04,87,1025.4,Rezaei and Rafiee (2021),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
