setid,"Temperature, K","MolaLity of L-sorbose, mol/kg","Solvent: MolaLity of N,N,N-trimethyl-1-hexadecanaminium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xCybL,298.15,0,0.0004,100,997.1,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0,0.0008,100,997.1,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0,0.0012,100,997.1,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0.0421,0.0004,100,999.9,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0.0494,0.0008,100,1000.3,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0.0569,0.0012,100,1000.8,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0.0666,0.0004,100,1001.5,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0.072,0.0008,100,1001.8,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0.0768,0.0012,100,1002.1,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0.0805,0.0004,100,1002.5,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0.0811,0.0008,100,1002.4,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0.0923,0.0012,100,1003.2,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
xCybL,298.15,0.1092,0.0012,100,1004.3,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAihcV,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,L-sorbose,AADYJk,O,water
