setid,Weight fraction of ethyl acetate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jZsNa,0.01,101,313,1463,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.014,101,313,1423,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.016,101,313,1403,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.019,101,313,1403,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.022,101,313,1362,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.025,101,313,1346,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.029,101,313,1325,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.031,101,313,1300,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.034,101,313,1317,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.041,101,313,1240,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.043,101,313,1231,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.047,101,313,1225,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.059,101,313,1163,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.06,101,313,1155,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.078,101,313,1095,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.141,101,313,962,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.17,101,313,919,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.182,101,313,907,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.194,101,313,894.6,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.211,101,313,883,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.221,101,313,885.5,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
jZsNa,0.235,101,313,867,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,22,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
