setid,Mole fraction of benzene,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yQnjy,0,101,283.15,1034.3,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,
yQnjy,0.0501,101,283.15,1032.2,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,
yQnjy,0.1058,101,283.15,1029.8,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,
yQnjy,0.204,101,283.15,1024.9,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,
yQnjy,0.298,101,283.15,1019.6,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,
yQnjy,0.3969,101,283.15,1012.85,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,
yQnjy,0.4343,101,283.15,1010.2,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,
yQnjy,0.5115,101,283.15,1003.33,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,
yQnjy,0.5999,101,283.15,994.03,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,
yQnjy,0.7034,101,283.15,979.89,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,
yQnjy,0.7264,101,283.15,975.78,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,
yQnjy,0.7449,101,283.15,972.55,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,
yQnjy,0.7698,101,283.15,967.58,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,
yQnjy,1,101,283.15,889.58,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAstlh,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-hexyl-3-methylimidazolium dicyanamide,,,
