setid,"Temperature, K","Mole fraction of 2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TimOL,293.15,0,100,803.49,Lu et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
TimOL,293.15,0.0997,100,898.6,Lu et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
TimOL,293.15,0.2003,100,964.92,Lu et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
TimOL,293.15,0.3066,100,1016.48,Lu et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
TimOL,293.15,0.3996,100,1051.52,Lu et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
TimOL,293.15,0.5016,100,1082.4,Lu et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
TimOL,293.15,0.5989,100,1106.32,Lu et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
TimOL,293.15,0.6984,100,1126.59,Lu et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
TimOL,293.15,0.7999,100,1144,Lu et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
TimOL,293.15,0.8981,100,1158.4,Lu et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAzpuP,CCOS(=O)(=O)[O-].CC[NH+]=C(N(C)C)N(C)C,"2-ethyl-1,1,3,3-tetramethylguanidinium ethyl sulfate",,,
