setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,Mole fraction of 2-pyrrolidinone,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EKkxp,293.15,0.1595,0.7681,101,1175.3,Sharma et al. (2013b),Density,Liquid,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
EKkxp,293.15,0.1799,0.7347,101,1184.8,Sharma et al. (2013b),Density,Liquid,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
EKkxp,293.15,0.1936,0.7081,101,1191.6,Sharma et al. (2013b),Density,Liquid,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
EKkxp,293.15,0.2046,0.6871,101,1197,Sharma et al. (2013b),Density,Liquid,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
EKkxp,293.15,0.2218,0.6542,101,1205,Sharma et al. (2013b),Density,Liquid,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
EKkxp,293.15,0.2442,0.6148,101,1214.3,Sharma et al. (2013b),Density,Liquid,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
EKkxp,293.15,0.2603,0.5861,101,1220.2,Sharma et al. (2013b),Density,Liquid,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
EKkxp,293.15,0.2849,0.5481,101,1227.8,Sharma et al. (2013b),Density,Liquid,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
EKkxp,293.15,0.3015,0.5245,101,1232.2,Sharma et al. (2013b),Density,Liquid,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
EKkxp,293.15,0.3269,0.4911,101,1237.7,Sharma et al. (2013b),Density,Liquid,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
EKkxp,293.15,0.3478,0.4658,101,1241.4,Sharma et al. (2013b),Density,Liquid,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
EKkxp,293.15,0.3642,0.4473,101,1244,Sharma et al. (2013b),Density,Liquid,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
EKkxp,293.15,0.3891,0.4208,101,1247.3,Sharma et al. (2013b),Density,Liquid,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
EKkxp,293.15,0.4032,0.4067,101,1248.9,Sharma et al. (2013b),Density,Liquid,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
EKkxp,293.15,0.4121,0.3981,101,1249.9,Sharma et al. (2013b),Density,Liquid,AAQTZI,O=C1CCCN1,2-pyrrolidinone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
