setid,"Temperature, K",Mole fraction of 1-(2-methoxyethyl)-3-methylimidazolium thiocyanate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OHcJn,288.15,0,101,1133.7,Guan et al. (2022),Density,Liquid,AAmQcG,[S-]C#N.COCCN1C=[N+](C=C1)C,1-(2-methoxyethyl)-3-methylimidazolium thiocyanate,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
OHcJn,288.15,0.1027,101,1144.6,Guan et al. (2022),Density,Liquid,AAmQcG,[S-]C#N.COCCN1C=[N+](C=C1)C,1-(2-methoxyethyl)-3-methylimidazolium thiocyanate,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
OHcJn,288.15,0.1999,101,1152.8,Guan et al. (2022),Density,Liquid,AAmQcG,[S-]C#N.COCCN1C=[N+](C=C1)C,1-(2-methoxyethyl)-3-methylimidazolium thiocyanate,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
OHcJn,288.15,0.3001,101,1159.8,Guan et al. (2022),Density,Liquid,AAmQcG,[S-]C#N.COCCN1C=[N+](C=C1)C,1-(2-methoxyethyl)-3-methylimidazolium thiocyanate,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
OHcJn,288.15,0.4001,101,1165.5,Guan et al. (2022),Density,Liquid,AAmQcG,[S-]C#N.COCCN1C=[N+](C=C1)C,1-(2-methoxyethyl)-3-methylimidazolium thiocyanate,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
OHcJn,288.15,0.5006,101,1170.2,Guan et al. (2022),Density,Liquid,AAmQcG,[S-]C#N.COCCN1C=[N+](C=C1)C,1-(2-methoxyethyl)-3-methylimidazolium thiocyanate,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
OHcJn,288.15,0.6015,101,1174.1,Guan et al. (2022),Density,Liquid,AAmQcG,[S-]C#N.COCCN1C=[N+](C=C1)C,1-(2-methoxyethyl)-3-methylimidazolium thiocyanate,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
OHcJn,288.15,0.7036,101,1177.3,Guan et al. (2022),Density,Liquid,AAmQcG,[S-]C#N.COCCN1C=[N+](C=C1)C,1-(2-methoxyethyl)-3-methylimidazolium thiocyanate,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
OHcJn,288.15,0.8038,101,1180.1,Guan et al. (2022),Density,Liquid,AAmQcG,[S-]C#N.COCCN1C=[N+](C=C1)C,1-(2-methoxyethyl)-3-methylimidazolium thiocyanate,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
OHcJn,288.15,0.9012,101,1182.3,Guan et al. (2022),Density,Liquid,AAmQcG,[S-]C#N.COCCN1C=[N+](C=C1)C,1-(2-methoxyethyl)-3-methylimidazolium thiocyanate,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
OHcJn,288.15,1,101,1184.2,Guan et al. (2022),Density,Liquid,AAmQcG,[S-]C#N.COCCN1C=[N+](C=C1)C,1-(2-methoxyethyl)-3-methylimidazolium thiocyanate,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
OHcJn,293.15,0,101,1128.7,Guan et al. (2022),Density,Liquid,AAmQcG,[S-]C#N.COCCN1C=[N+](C=C1)C,1-(2-methoxyethyl)-3-methylimidazolium thiocyanate,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
OHcJn,293.15,0.1027,101,1139.9,Guan et al. (2022),Density,Liquid,AAmQcG,[S-]C#N.COCCN1C=[N+](C=C1)C,1-(2-methoxyethyl)-3-methylimidazolium thiocyanate,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
OHcJn,293.15,0.1999,101,1148.4,Guan et al. (2022),Density,Liquid,AAmQcG,[S-]C#N.COCCN1C=[N+](C=C1)C,1-(2-methoxyethyl)-3-methylimidazolium thiocyanate,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
OHcJn,293.15,0.3001,101,1155.6,Guan et al. (2022),Density,Liquid,AAmQcG,[S-]C#N.COCCN1C=[N+](C=C1)C,1-(2-methoxyethyl)-3-methylimidazolium thiocyanate,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
