setid,Weight fraction of 1-methyl-3-octylimidazolium chloride,Weight fraction of cesium nitrate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zeroz,0,0.214,101,298.15,1177.77,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
zeroz,0.0682,0.1648,101,298.15,1172.75,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
zeroz,0.1429,0.1247,101,298.15,1170.21,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
zeroz,0.2196,0.1032,101,298.15,1165.33,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
zeroz,0.2991,0.0839,101,298.15,1155.5,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
zeroz,0.3853,0.0559,101,298.15,1142.32,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
zeroz,0.4714,0.0374,101,298.15,1126.03,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
zeroz,0.5576,0.0239,101,298.15,1105.14,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
zeroz,0.6395,0.0205,101,298.15,1085.56,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
zeroz,0.7231,0.0155,101,298.15,1065.71,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
zeroz,0.806,0.0125,101,298.15,1041.13,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
