setid,Mole fraction of butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UteaZ,0,293.15,100,789.5,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
UteaZ,0,298.15,100,785.2,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
UteaZ,0,303.15,100,780.8,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
UteaZ,0,308.15,100,776.4,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
UteaZ,0.01,293.15,100,819.1,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
UteaZ,0.01,298.15,100,814.8,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
UteaZ,0.01,303.15,100,810.4,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
UteaZ,0.01,308.15,100,805.9,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
UteaZ,0.02,293.15,100,846,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
UteaZ,0.02,298.15,100,841.6,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
