setid,"Temperature, K","MolaLity of 1-methyl-3-octyl-1H-imidazolium thiocyanate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wQSoW,288.15,0,86,1209.68,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
wQSoW,288.15,0.0088,86,1209.23,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
wQSoW,288.15,0.0115,86,1209.09,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
wQSoW,288.15,0.0133,86,1208.99,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
wQSoW,288.15,0.0161,86,1208.84,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
wQSoW,288.15,0.0183,86,1208.72,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
wQSoW,288.15,0.0206,86,1208.6,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
wQSoW,288.15,0.0229,86,1208.47,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
wQSoW,288.15,0.0252,86,1208.34,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
wQSoW,298.15,0,86,1199.04,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
