setid,"Temperature, K","MolaLity of sodium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZaQYh,293.15,0,101,1100.21,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,293.15,0.02641,101,1102.59,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,293.15,0.0331,101,1103.2,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,293.15,0.04651,101,1104.41,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,293.15,0.06041,101,1105.66,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,293.15,0.0788,101,1107.34,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,293.15,0.09603,101,1108.91,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,293.15,0.1218,101,1111.26,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,293.15,0.1568,101,1114.49,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,293.15,0.1917,101,1117.71,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,293.15,0.2205,101,1120.39,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,293.15,0.2625,101,1124.33,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,298.15,0,101,1095.18,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,298.15,0.02641,101,1097.57,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,298.15,0.0331,101,1098.17,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,298.15,0.04651,101,1099.38,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,298.15,0.06041,101,1100.64,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,298.15,0.0788,101,1102.31,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,298.15,0.09603,101,1103.88,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,298.15,0.1218,101,1106.23,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,298.15,0.1568,101,1109.45,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,298.15,0.1917,101,1112.68,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,298.15,0.2205,101,1115.36,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,298.15,0.2625,101,1119.3,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,303.15,0,101,1090.16,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,303.15,0.02641,101,1092.55,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,303.15,0.0331,101,1093.52,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,303.15,0.04651,101,1094.37,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,303.15,0.06041,101,1095.62,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,303.15,0.0788,101,1097.29,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,303.15,0.09603,101,1098.86,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
ZaQYh,303.15,0.1218,101,1101.22,Warminska et al. (2010b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAhEBB,O=S(=O)([O-])C(F)(F)F.[Na+],sodium trifluoromethanesulfonate,,,
