setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Aewye,293.15,0.0503,100,1191.6,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,293.15,0.101,100,1179.1,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,293.15,0.2003,100,1157.5,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,293.15,0.2996,100,1139.1,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,293.15,0.5007,100,1109.5,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,293.15,0.5994,100,1097.7,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,293.15,0.7946,100,1078.5,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,293.15,0.8989,100,1069.9,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,298.15,0.0503,100,1186.6,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,298.15,0.101,100,1174.3,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,298.15,0.2003,100,1153.2,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
Aewye,298.15,0.2996,100,1135,Zec et al. (2018b),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
