setid,Mole fraction of ethyl acetate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dhnVA,0.0522,101,298.15,1427,Andreatta et al. (2010b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
dhnVA,0.092,101,298.15,1419.8,Andreatta et al. (2010b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
dhnVA,0.1818,101,298.15,1401.1,Andreatta et al. (2010b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
dhnVA,0.2303,101,298.15,1389.9,Andreatta et al. (2010b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
dhnVA,0.2982,101,298.15,1372.5,Andreatta et al. (2010b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
dhnVA,0.4204,101,298.15,1335.8,Andreatta et al. (2010b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
dhnVA,0.4752,101,298.15,1316.1,Andreatta et al. (2010b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
dhnVA,0.5937,101,298.15,1265.7,Andreatta et al. (2010b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
dhnVA,0.6953,101,298.15,1210.04,Andreatta et al. (2010b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
dhnVA,0.7954,101,298.15,1138.55,Andreatta et al. (2010b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
dhnVA,0.8933,101,298.15,1043.77,Andreatta et al. (2010b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
