setid,"MolaLity of 1-dodecylpyridinium chloride, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wOJqb,0.00662,101,298,0,Causi et al. (1991),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wOJqb,0.00867,101,298,0,Causi et al. (1991),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wOJqb,0.01008,101,298,-0.003,Causi et al. (1991),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wOJqb,0.01209,101,298,-0.004,Causi et al. (1991),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wOJqb,0.013,101,298,-0.004,Causi et al. (1991),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wOJqb,0.02079,101,298,-0.036,Causi et al. (1991),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wOJqb,0.03084,101,298,-0.114,Causi et al. (1991),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wOJqb,0.03849,101,298,-0.167,Causi et al. (1991),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wOJqb,0.05359,101,298,-0.275,Causi et al. (1991),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wOJqb,0.07814,101,298,-0.435,Causi et al. (1991),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wOJqb,0.1334,101,298,-0.836,Causi et al. (1991),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wOJqb,0.1977,101,298,-1.254,Causi et al. (1991),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wOJqb,0.237,101,298,-1.518,Causi et al. (1991),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wOJqb,0.2991,101,298,-1.882,Causi et al. (1991),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wOJqb,0.3955,101,298,-2.484,Causi et al. (1991),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wOJqb,0.5035,101,298,-3.078,Causi et al. (1991),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wOJqb,0.5914,101,298,-3.557,Causi et al. (1991),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
