setid,"Temperature, K","MolaLity of 1-(2-hydroxylethyl)-3-propylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iWwUz,293.15,0.01,101,998.4,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,293.15,0.0505,101,999.68,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,293.15,0.102,101,1001.01,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,293.15,0.208,101,1004.05,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,293.15,0.5535,101,1012.98,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,293.15,1.1749,101,1027.62,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,293.15,2.1027,101,1046.02,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,293.15,3.23,101,1063.98,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,293.15,4.7722,101,1082.55,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,293.15,5.9922,101,1093.61,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,293.15,7.003,101,1101.22,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,298.15,0.01,101,997.35,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,298.15,0.0505,101,998.47,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,298.15,0.102,101,999.89,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
iWwUz,298.15,0.208,101,1002.76,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride,,,
