setid,"Temperature, K","MolaLity of benzylmethylammonium propionate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YdlXL,293.15,0,101.3,1100.41,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,293.15,0.1588,101.3,1097.19,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,293.15,0.21001,101.3,1096.38,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,293.15,0.33994,101.3,1094.44,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,293.15,0.42849,101.3,1093.25,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,293.15,0.52787,101.3,1092.02,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,293.15,0.61235,101.3,1091.04,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,293.15,0.72355,101.3,1089.84,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,293.15,0.77682,101.3,1089.27,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,298.15,0,101.3,1095.39,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,298.15,0.1588,101.3,1092.13,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,298.15,0.21001,101.3,1091.32,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,298.15,0.33994,101.3,1089.35,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,298.15,0.42849,101.3,1088.13,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,298.15,0.52787,101.3,1086.89,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,298.15,0.61235,101.3,1085.9,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,298.15,0.72355,101.3,1084.7,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,298.15,0.77682,101.3,1084.12,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,303.15,0,101.3,1090.37,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
YdlXL,303.15,0.1588,101.3,1087.09,Keshapolla and Gardas (2014),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
