setid,"Temperature, K","Mole fraction of 2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RwmNg,293.15,0,100,789.62,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,293.15,0.1006,100,1023.01,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,293.15,0.2004,100,1148.25,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,293.15,0.3001,100,1225.9,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,293.15,0.4005,100,1278.7,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,293.15,0.5018,100,1317,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,293.15,0.6011,100,1345.5,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,293.15,0.6999,100,1367.7,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,293.15,0.802,100,1386.7,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,293.15,0.892,100,1400.7,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,293.15,1,100,1415,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,298.15,0,100,785.25,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,298.15,0.1006,100,1018.29,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,298.15,0.2004,100,1143.37,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,298.15,0.3001,100,1221.1,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,298.15,0.4005,100,1273.8,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,298.15,0.5018,100,1312.1,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,298.15,0.6011,100,1340.6,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,298.15,0.6999,100,1362.8,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,298.15,0.802,100,1381.8,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,298.15,0.892,100,1395.8,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,298.15,1,100,1410,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
RwmNg,303.15,0,100,780.89,Lu et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,ABdfIc,CC[NH+]=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-ethyl-1,1,3,3-tetramethylguanidinium bis(trifluoromethanesulfonyl)imide",,,
