setid,"Solvent: MolaLity of 1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YjkMX,0.0989,0,298.2,87,997.61,Shekaari et al. (2019b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water
YjkMX,0.0989,0.0995,298.2,87,1000.7,Shekaari et al. (2019b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water
YjkMX,0.0989,0.1477,298.2,87,1002.19,Shekaari et al. (2019b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water
YjkMX,0.0989,0.1959,298.2,87,1003.68,Shekaari et al. (2019b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water
YjkMX,0.0989,0.2457,298.2,87,1005.2,Shekaari et al. (2019b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water
YjkMX,0.0989,0.2933,298.2,87,1006.66,Shekaari et al. (2019b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water
YjkMX,0.0989,0.3525,298.2,87,1008.46,Shekaari et al. (2019b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water
YjkMX,0.0989,0.3949,298.2,87,1009.75,Shekaari et al. (2019b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water
YjkMX,0.2002,0,298.2,87,998.18,Shekaari et al. (2019b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water
YjkMX,0.2002,0.0984,298.2,87,1001.21,Shekaari et al. (2019b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water
YjkMX,0.2002,0.1487,298.2,87,1002.75,Shekaari et al. (2019b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water
YjkMX,0.2002,0.1982,298.2,87,1004.26,Shekaari et al. (2019b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water
YjkMX,0.2002,0.2444,298.2,87,1005.66,Shekaari et al. (2019b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AADYJk,O,water
