setid,"Temperature, K",Mole fraction of dodecyltriethylphosphonium 2-cyanopyrrolide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qYAZM,293.15,0,100,1123,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
qYAZM,293.15,0.005,100,1121,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
qYAZM,293.15,0.02,100,1112,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
qYAZM,293.15,0.042,100,1101,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
qYAZM,293.15,0.065,100,1091,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
qYAZM,293.15,0.09,100,1080,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
qYAZM,293.15,0.116,100,1070,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
qYAZM,293.15,0.218,100,1039,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
qYAZM,293.15,0.299,100,1019,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
qYAZM,293.15,0.501,100,984,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
qYAZM,293.15,0.686,100,964,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
qYAZM,293.15,0.809,100,954,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
qYAZM,293.15,1,100,948,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
qYAZM,298.15,0,100,1120,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
qYAZM,298.15,0.005,100,1118,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
qYAZM,298.15,0.02,100,1110,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
