setid,Mole fraction of pentan-1-ol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KPNAn,0,288.15,101,1287.57,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0,298.15,101,1280.81,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0,308.15,101,1273.97,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.057,288.15,101,1271.79,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.057,298.15,101,1264.9,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.057,308.15,101,1258.06,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.113,288.15,101,1255.1,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.113,298.15,101,1248.21,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.113,308.15,101,1241.74,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.216,288.15,101,1221.14,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.216,298.15,101,1214.5,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.216,308.15,101,1207.89,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.306,288.15,101,1188.62,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.306,298.15,101,1181.87,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.306,308.15,101,1175.24,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.404,288.15,101,1150.41,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.404,298.15,101,1143.48,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.404,308.15,101,1136.6,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.51,288.15,101,1104.6,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.51,298.15,101,1097.6,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.51,308.15,101,1090.68,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.608,288.15,101,1058.29,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.608,298.15,101,1051.16,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.608,308.15,101,1043.98,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.716,288.15,101,1001.72,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.716,298.15,101,994.56,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.716,308.15,101,987.39,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.801,288.15,101,952.72,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.801,298.15,101,945.38,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.801,308.15,101,938.08,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.9,288.15,101,889.67,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.9,298.15,101,882.45,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.9,308.15,101,875.19,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.956,288.15,101,851,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.956,298.15,101,843.78,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,0.956,308.15,101,836.48,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,1,288.15,101,818.25,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,1,298.15,101,810.99,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
KPNAn,1,308.15,101,803.61,Requejo et al. (2014),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
