setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BCSGa,308.15,0.4992,101.3,1106.7,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
BCSGa,308.15,0.5905,101.3,1126.3,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
BCSGa,308.15,0.6974,101.3,1146.4,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
BCSGa,308.15,0.8012,101.3,1164.3,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
BCSGa,308.15,0.8948,101.3,1179.4,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
BCSGa,308.15,0.9496,101.3,1187.6,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
BCSGa,308.15,1,101.3,1193.9,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
BCSGa,313.15,0,101.3,932.5,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
BCSGa,313.15,0.051,101.3,956.9,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
BCSGa,313.15,0.1986,101.3,1014.9,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
