setid,Weight fraction of ethyl acetate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GhtXN,0.455,101,313,891.5,Naydenov and Bart (2007),Density,Liquid mixture 1,Liquid mixture 2,,13,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
GhtXN,0.508,101,313,873.8,Naydenov and Bart (2007),Density,Liquid mixture 1,Liquid mixture 2,,13,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
GhtXN,0.537,101,313,867,Naydenov and Bart (2007),Density,Liquid mixture 1,Liquid mixture 2,,13,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
GhtXN,0.584,101,313,857.8,Naydenov and Bart (2007),Density,Liquid mixture 1,Liquid mixture 2,,13,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
GhtXN,0.606,101,313,853.9,Naydenov and Bart (2007),Density,Liquid mixture 1,Liquid mixture 2,,13,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
GhtXN,0.628,101,313,850.9,Naydenov and Bart (2007),Density,Liquid mixture 1,Liquid mixture 2,,13,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
GhtXN,0.687,101,313,848.5,Naydenov and Bart (2007),Density,Liquid mixture 1,Liquid mixture 2,,13,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
GhtXN,0.734,101,313,849.2,Naydenov and Bart (2007),Density,Liquid mixture 1,Liquid mixture 2,,13,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
GhtXN,0.771,101,313,851.6,Naydenov and Bart (2007),Density,Liquid mixture 1,Liquid mixture 2,,13,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
GhtXN,0.785,101,313,852.2,Naydenov and Bart (2007),Density,Liquid mixture 1,Liquid mixture 2,,13,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
GhtXN,0.883,101,313,861.6,Naydenov and Bart (2007),Density,Liquid mixture 1,Liquid mixture 2,,13,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
GhtXN,0.893,101,313,862.9,Naydenov and Bart (2007),Density,Liquid mixture 1,Liquid mixture 2,,13,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
GhtXN,1,101,313,876.6,Naydenov and Bart (2007),Density,Liquid mixture 1,Liquid mixture 2,,13,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate
