setid,"Temperature, K",Mole fraction of 1-octyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DFFLP,293.15,0,101,683.7,Pereiro and Rodriguez (2008e),Density,Liquid,AATOnt,CCCCCCC,heptane,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
DFFLP,293.15,0.9197,101,1216.1,Pereiro and Rodriguez (2008e),Density,Liquid,AATOnt,CCCCCCC,heptane,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
DFFLP,293.15,0.9484,101,1224.2,Pereiro and Rodriguez (2008e),Density,Liquid,AATOnt,CCCCCCC,heptane,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
DFFLP,293.15,0.9926,101,1237.4,Pereiro and Rodriguez (2008e),Density,Liquid,AATOnt,CCCCCCC,heptane,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
DFFLP,293.15,1,101,1239.6,Pereiro and Rodriguez (2008e),Density,Liquid,AATOnt,CCCCCCC,heptane,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
DFFLP,298.15,0,101,679.5,Pereiro and Rodriguez (2008e),Density,Liquid,AATOnt,CCCCCCC,heptane,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
DFFLP,298.15,0.9197,101,1212.2,Pereiro and Rodriguez (2008e),Density,Liquid,AATOnt,CCCCCCC,heptane,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
DFFLP,298.15,0.9484,101,1220.4,Pereiro and Rodriguez (2008e),Density,Liquid,AATOnt,CCCCCCC,heptane,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
DFFLP,298.15,0.9926,101,1233.5,Pereiro and Rodriguez (2008e),Density,Liquid,AATOnt,CCCCCCC,heptane,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
DFFLP,298.15,1,101,1235.7,Pereiro and Rodriguez (2008e),Density,Liquid,AATOnt,CCCCCCC,heptane,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
DFFLP,303.15,0,101,675.2,Pereiro and Rodriguez (2008e),Density,Liquid,AATOnt,CCCCCCC,heptane,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
DFFLP,303.15,0.9197,101,1208.4,Pereiro and Rodriguez (2008e),Density,Liquid,AATOnt,CCCCCCC,heptane,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
DFFLP,303.15,0.9484,101,1216.5,Pereiro and Rodriguez (2008e),Density,Liquid,AATOnt,CCCCCCC,heptane,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
DFFLP,303.15,0.9926,101,1229.7,Pereiro and Rodriguez (2008e),Density,Liquid,AATOnt,CCCCCCC,heptane,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
DFFLP,303.15,1,101,1231.9,Pereiro and Rodriguez (2008e),Density,Liquid,AATOnt,CCCCCCC,heptane,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
