setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hAhCT,288.15,0,101,999.099,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,288.15,0.0183,101,1000.03,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,288.15,0.0274,101,1000.49,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,288.15,0.0367,101,1000.96,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,288.15,0.0459,101,1001.42,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,288.15,0.0692,101,1002.59,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,288.15,0.0932,101,1003.78,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,288.15,0.1164,101,1004.92,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,288.15,0.141,101,1006.13,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,288.15,0.1652,101,1007.3,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,288.15,0.1863,101,1008.32,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,288.15,0.2114,101,1009.53,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,288.15,0.2376,101,1010.77,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,288.15,0.2632,101,1011.99,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,288.15,0.2831,101,1012.92,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,293.15,0,101,998.203,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,293.15,0.0183,101,999.121,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,293.15,0.0274,101,999.575,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,293.15,0.0367,101,1000.04,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
hAhCT,293.15,0.0459,101,1000.49,Sadeghi et al. (2010b),Density,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
