setid,"Solvent: MolaLity of cholinium propanoate, mol/kg","Temperature, K","MolaLity of D-glucose, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wNdsZ,0,293.15,0,100,998.2,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,293.15,0.00917,100,998.8,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,293.15,0.02698,100,1000.1,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,293.15,0.04915,100,1001.6,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,293.15,0.07538,100,1003.4,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,293.15,0.09923,100,1005,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,293.15,0.15063,100,1008.5,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,298.15,0,100,997,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,298.15,0.00917,100,997.7,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,298.15,0.02698,100,998.9,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,298.15,0.04915,100,1000.4,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,298.15,0.07538,100,1002.1,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,298.15,0.09923,100,1003.7,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,298.15,0.15063,100,1007.1,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,303.15,0,100,995.7,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,303.15,0.00917,100,996.3,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,303.15,0.02698,100,997.5,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,303.15,0.04915,100,999,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,303.15,0.07538,100,1000.7,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,303.15,0.09923,100,1002.3,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,303.15,0.15063,100,1005.7,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
wNdsZ,0,308.15,0,100,994,Panda et al. (2020),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water
